"lang" 
{ 
"Language" "schinese" 
"Tokens" 
{
	"nmo_shelter_Objective_1"	"离开这里，到地下室去"
	"nmo_shelter_Objective_2"	"前往地下室的二层阁楼"
	"nmo_shelter_Objective_3"	"寻找焊枪，并打开控制室的门"
	"nmo_shelter_Objective_4"	"用心形钥匙解锁阁楼连接处的门"
	"nmo_shelter_Objective_5"	"寻找拉杆，并进入集装箱前方的货运仓库"
	"nmo_shelter_Objective_6"	"在找到钥匙后打开通往下水道的门"
	"nmo_shelter_Objective_7"	"寻找离开下水道的线索"
	"nmo_shelter_Objective_8"	"在找到丢失的开关后，重新启动控制面板"
	"nmo_shelter_Objective_7_pre"	"想办法停止管道的气体泄漏"
	"nmo_shelter_Objective_5_pre"	"按住机房内的按钮来启动发电机"
	"nmo_shelter_Objective_6_pre"	"寻找通往地下维修隧道的路"
	"nmo_shelter_Objective_7_prepre"	"破坏门上的木板后进入下水道"
	"nmo_shelter_Objective_pre9"	"穿越地下隧道"
	"nmo_shelter_Objective_9"	"寻找能逃出下水道的路"
	"nmo_shelter_lever"		"有人正在使用拉杆！"
	"nmo_shelter_6mins"		"你只有 6 分钟的时间用来撤离！"
	"nmo_shelter_switch"		"在控制面板上安装所有的开关！"
	"nmo_shelter_end"		"这里也只是另外一个“避难所”罢了..."
}
}
